binomial,ID,Year,Lat,Long,Frequency,Duration,n,n_area,tau_p,tau_p_min,tau_p_max,tau_p_var,tau_v,tau_v_min,tau_v_max,tau_v_var,sigma,l_v
Aepyceros_melampus,1756,2011,0.361633349993634,36.8748966997971,20,374.041666666667,25206,168.38632615144,186152.398518923,158886.61941308,218097.128646538,209141006.249374,487.466231755314,473.171752497086,502.192546042125,53.9768101209989,371258.225173055,31.1799914675525
Aepyceros_melampus,1757,2011,0.443538100009628,36.8596312497475,20,345.750694444444,23318,381.716108367973,76292.8086540386,68695.9954475713,84729.722808428,15817439.8748094,436.555400694632,421.899873206288,451.720016949298,56.8604326786633,144450.722976982,28.7499928414788
Aepyceros_melampus,1758,2012,0.395385600019686,36.8650545002839,20,463.430555555556,30975,629.712448170748,62049.4327958662,57183.3853206933,67329.5589041569,6416387.61092369,546.409035809389,532.716179952506,560.453850755509,49.4221712101303,141573.39906073,35.308629267159
Aepyceros_melampus,1759,2011,0.410704799958227,36.8699775002921,20,117.013888888889,7741,60.7243104467583,158622.20030948,120932.214796012,208058.72507555,422071234.619489,464.255866071929,439.153611331623,490.792979086852,168.580807328545,328672.25738769,31.0154608685358
Aepyceros_melampus,1760,2011,0.513564799983373,36.8599748999049,20,46.1111111111111,3193,23.273577554831,150676.442043492,95331.0810510352,238153.07595989,994638591.347936,501.80230370853,462.300337199253,544.679576771882,422.906310258944,260145.309817195,29.4341600663401
Aepyceros_melampus,1761,2011,0.38103840004354,36.9184825998501,20,85.4590277777778,5673,41.7361866779887,161912.07239811,116150.900726897,225702.246165879,640627547.97006,427.660482058175,398.497169860461,458.9580597982,229.224938371207,307744.165702646,28.5105016489214
Aepyceros_melampus,1762,2011,0.352799800003365,36.9198552004039,20,275.916666666667,18505,192.27509847335,120373.149888558,103772.657587695,139629.219786036,77149883.3479235,469.836675996053,453.296449696268,486.980434677863,72.4855482342108,191766.259342817,27.3586550377264
Aepyceros_melampus,1763,2011,0.455571100013272,36.8340790002928,20,307.833333333333,20217,290.135064281635,89658.9879718687,79472.7377016492,101150.839352208,28657336.667228,489.631486860343,473.350366132299,506.472604814813,70.1625462118492,192778.467387514,32.4464371081709
Aepyceros_melampus,1764,2011,0.489063750010665,36.8774234499615,20,349.25,23358,315.427356059193,93768.8140202437,83548.590454551,105239.243833157,28775708.3637775,477.946708640521,463.056154795003,493.316099861442,58.6267323034839,211206.74643296,32.8106186579246
Aepyceros_melampus,1765,2011,0.374288299970103,36.923486500365,20,155.694444444444,10361,148.079339655132,88188.0850381475,74349.0708358746,104603.033437547,54202179.1435461,414.229811754069,392.60926613559,437.040976222282,124.937734329344,156200.172524548,27.0867234835131
Aepyceros_melampus,1766,2011,0.423793000004569,36.8511775998592,20,120.81875,8103,91.8561592099226,109866.398365154,88283.532811736,136725.673580274,134938100.812533,505.293091510558,479.595900037339,532.367162247256,176.372414585377,218851.665176699,31.7259155652227
Aepyceros_melampus,1767,2011,0.482138499999799,36.8339121997616,20,288.944444444444,18881,130.304881078594,187402.126045088,156377.762403043,224581.528131238,273767051.263925,452.815262532938,436.420932707676,469.825452025498,71.248805355787,321673.762808372,27.8792503143368
Aepyceros_melampus,1768,2011,0.384485250025669,36.8523231999439,20,380.347222222222,25516,147.32056573612,216914.16967418,183078.791025707,257002.773187596,323826996.892618,514.831116825176,500.431459662833,529.645116695974,54.7364847769406,506207.893931627,34.6619418540824
Aepyceros_melampus,1769,2011,0.341225200008107,36.9081594995788,20,59.8340277777778,4093,32.5388000752058,142635.570900898,97462.1396897169,208746.76208624,638929217.470387,379.512203342472,345.717334848729,416.610617887814,311.2473623445,238687.33531553,25.2007599993517
Aepyceros_melampus,1770,2012,0.398787449991306,36.9142698997617,20,426.416666666667,28264,371.341881763592,97535.6719787283,87721.7908389325,108447.481718761,26411994.331738,458.210705104707,444.795408574683,472.03061503118,47.5401844537604,210568.045843191,31.451916123688
Aepyceros_melampus,1771,2011,0.494409700007879,36.8472002001731,20,325.152777777778,21241,123.162387750891,222163.556192636,184423.671828422,267626.412655296,406136393.090054,508.079481037107,492.201348092187,524.469833436105,66.6644080603481,510093.187682052,34.1549914178693
Aepyceros_melampus,1772,2011,0.321336250019004,36.9024637999638,20,71.1805555555556,4716,70.9758017042437,81708.9543119198,63504.5317072858,105131.917916047,97557964.666596,508.316892573385,474.791802136577,544.20919256128,302.563690910202,137432.410955469,29.2399770672632
Aepyceros_melampus,1773,2011,0.398255599961099,36.8820029000063,20,295.541666666667,19623,234.023345849015,105015.344064632,91805.5777467934,120125.843763325,48520913.6090072,539.217705092098,522.338328855737,556.642538796136,75.3389309021694,201901.986240759,32.1977843845264
Aepyceros_melampus,1774,2011,0.480354200019918,36.8405549002069,20,325.097222222222,21507,227.806164740962,120297.01972423,105013.136407819,137805.358925117,64999814.9240849,459.470621171208,444.147125397429,475.322792037771,62.154736214451,252541.787899837,31.0576123616385
Aepyceros_melampus,1775,2011,0.325518400017753,36.8826350996452,20,340.583333333333,21771,103.160534660071,276089.078837224,225084.526228329,338651.353473597,748330579.107841,596.019259695875,579.143116248758,613.387171429029,75.196026661501,777249.594175685,40.9624368599318
Aepyceros_melampus,1776,2012,0.406430999970607,36.9102450500152,20,1.51388888888889,106,7.3881927495011,15685.8595662162,6214.34634531072,39593.2535232319,36078126.0410529,NA,NA,NA,NA,25380.6443921869,NA
Alces_alces,10,2005,41.0517815005662,-106.167557999753,90,625.124305555556,9880,3.82312764633973,15269131.0969539,3996994.68594944,58330416.4190009,61019842923585.1,1019.63986435156,920.497304972231,1129.46061586376,2690.55596853543,34660824.0757911,48.1100361631045
Alces_alces,11,2005,41.3993484992155,-106.531252999743,90,592.8125,9358,41.2862078765915,1182799.71282305,848370.990916257,1649060.58273317,34217741383.3591,1547.03160877798,1450.6693617612,1649.79481999438,2494.91943771685,5007794.77553835,80.9314366451356
Alces_alces,117,2006,43.8506996352381,-110.390071869411,60,731.333333333333,11400,42.1306745235139,1392956.34485279,1003156.70729209,1934221.60721364,46396711721.7431,1153.09834529903,1094.45915706514,1214.87931765024,918.405961166551,4152932.03191659,58.6329618557956
Alces_alces,120,2006,43.8545659991023,-110.302128993009,60,729.333333333333,11537,2.88614278997108,24877112.4173878,4913098.45974299,125963427.620729,214494228605453,2162.74244363424,2091.39178875857,2236.52732244564,1347.33323642745,164550902.547298,119.605885764146
Alces_alces,122,2006,43.8002924997558,-110.562858493614,60,743.207638888889,11650,3.63347906269135,15591525.1433948,3896485.0886972,62388447.7326186,66952269629200.5,1911.9821778936,1845.96046021558,1980.365195989,1154.49774910838,70109276.8719953,92.7225494037006
Alces_alces,129,2009,44.0899495009723,-110.294685504733,61,808.291666666667,5546,6.60724750185554,8667477.08915036,3369230.66546507,22297422.3347147,11384429691309.3,1467.95961960428,1376.62488488817,1565.35412692601,2241.29389363869,68126289.9056557,107.415776580577
Alces_alces,13,2005,41.5839550032804,-106.314184000623,90,595.75,7527,16.6326737669437,2780402.47424485,1606042.8078577,4813469.40502709,467336221023.442,2011.13138995242,1897.79812659286,2131.23272226712,3440.42957782066,21912530.943629,125.896211186376
Alces_alces,134,2006,43.8332920014176,-110.333777007561,60,743.208333333333,11759,3.35002275885215,21486071.0503908,4968356.24285585,92918306.7027981,137856104938049,2063.69466206552,1994.95545651651,2134.80238083825,1250.71501611925,126847717.220452,110.378768580781
Alces_alces,14,2005,41.3291489976324,-106.60181799992,90,593,9427,16.0845767452911,2692291.50702331,1539096.70190005,4709537.45131252,452824656369.727,964.507871022997,863.701270129554,1077.08008015986,2792.6692316762,4723306.34360136,41.1353223013265
Alces_alces,146,2006,43.8749599981253,-110.404981994642,60,743.210416666667,7227,7.12704392019258,8022002.47882365,3253884.17873038,19777140.2531488,9048314860742.15,1268.76062733103,1189.27901394281,1353.55413708061,1697.68488422045,32886639.2118703,72.1204117436954
Alces_alces,15,2005,41.2155290018606,-106.122884999899,90,483.4375,7640,6.85147042193807,5525302.62019253,2192216.00948103,13926077.0438099,4464937578455,1065.34967851124,956.619398405771,1186.43834674005,3244.60135166734,15667568.3146859,54.9628005486063
Alces_alces,213,2009,43.764962997312,-110.248007001499,60,803.665972222222,10493,6.73645915161313,8065160.83787637,3171090.13724453,20512447.3053725,9664960639600.13,NA,NA,NA,NA,17632231.9986327,NA
Alces_alces,227,2009,44.1034179977901,-110.069645996619,60,804.040972222222,10319,2.54746264127025,37975768.0511368,6464393.21681746,223092703.476312,566206788315242,874.350786525008,812.283510838085,941.160675671144,1039.80758320585,211435870.410916,69.7716355213331
Alces_alces,231,2009,43.813309999276,-110.219177999992,60,803.165972222222,10201,23.544800366587,2507544.69215266,1596545.0331037,3938367.06937072,268686816264.786,393.375671674876,317.783318723756,486.949471379198,1651.03008909416,11088335.4255368,41.7073489040042
Alces_alces,232,2009,43.9657510041262,-110.300910000236,60,804.292361111111,10019,4.85323518083959,14563179.1119694,4624901.361451,45857450.6291229,43729851495648.5,685.586579848188,620.360745553694,757.670374595378,1163.2388684809,83181661.8264011,62.5773048797836
Alces_alces,F01,2012,42.9913391436144,-110.12073778818,60,719,17216,7.56668966644998,7635388.93802192,3200522.82920619,18215512.6977573,7714152698363.08,148.518032974716,88.8553955671662,248.241606239942,1186.61495481325,32430711.2091667,25.1161026038755
Alces_alces,F02,2012,43.0175105970173,-110.266429412912,60,718.875694444444,17173,14.3291528301729,3671621.04600618,2021951.07047481,6667224.19861021,942870061471.557,703.772267705256,654.495751335828,756.758777700389,655.066882354523,15404528.9281585,54.3389647902365
Alces_alces,F04,2012,43.0967951116833,-110.422947542884,60,718.791666666667,17074,24.5461568823561,2251772.02887784,1450152.50996958,3496513.11512263,206922584459.181,NA,NA,NA,NA,6967897.53951808,NA
Alces_alces,F09,2012,42.9362584866281,-110.277894892107,60,720.75,17255,15.877537915731,3511609.79339569,2000626.44719349,6163771.0320041,778635760855.375,413.524828287921,358.995333963942,476.337064669844,829.618182457025,18019896.0214097,46.0652899989064
Alces_alces,F27,2012,43.1244837070169,-110.362837075278,60,719.666666666667,17090,90.3248228096771,650989.864786759,523341.379519049,809773.162681201,4719031599.55059,NA,NA,NA,NA,2414514.23684289,NA
